,year,h_a,hosp,prcd,waiting,comp,wait_med,wait_90,wait_median_d,wait_90_d
4632,2010/11,Interior,Penticton Regional Hospital,All Procedures,831,3404,4.0,20.5,28.0,143.5
4692,2010/11,Interior,Pleasant Valley Health Centre,All Procedures,325,1900,6.3,12.3,44.1,86.10000000000001
4698,2010/11,Interior,Queen Victoria Hospital,All Procedures,29,142,4.7,13.3,32.9,93.10000000000001
4719,2010/11,Interior,Royal Inland Hospital,All Procedures,4436,8963,9.9,46.0,69.3,322.0
4795,2010/11,Interior,Shuswap Lake General Hospital,All Procedures,183,1012,6.0,17.3,42.0,121.10000000000001
4843,2010/11,Interior,Summerland Memorial Health Centre,All Procedures,384,1883,3.3,16.1,23.099999999999998,112.70000000000002
4859,2010/11,Interior,Vernon Jubilee Hospital,All Procedures,1559,4306,6.1,27.4,42.699999999999996,191.79999999999998
5000,2010/11,Northern,Bulkley Valley District Hospital,All Procedures,141,398,8.9,35.4,62.300000000000004,247.79999999999998
5039,2010/11,Northern,Dawson Creek And District Hospital,All Procedures,297,1098,7.1,21.0,49.699999999999996,147.0
5088,2010/11,Northern,Fort Nelson General Hospital,All Procedures,0,17,0.1,0.3,0.7000000000000001,2.1
5094,2010/11,Northern,Fort St John General Hospital,All Procedures,448,1391,7.9,31.6,55.300000000000004,221.20000000000002
5146,2010/11,Northern,G.R. Baker Memorial Hospital,All Procedures,341,2110,4.1,20.1,28.699999999999996,140.70000000000002
5192,2010/11,Northern,Kitimat General Hospital,All Procedures,107,538,5.1,24.1,35.699999999999996,168.70000000000002
5230,2010/11,Northern,Mills Memorial Hospital,All Procedures,115,1360,0.0,8.9,0.0,62.300000000000004
5275,2010/11,Northern,Prince Rupert Regional Hospital,All Procedures,51,704,1.3,7.7,9.1,53.9
5322,2010/11,Northern,St. John Hospital,All Procedures,247,1040,8.9,24.7,62.300000000000004,172.9
5368,2010/11,Northern,The University Hospital Of Northern British Columbia,All Procedures,1982,5586,6.3,50.1,44.1,350.7
5444,2010/11,Northern,Wrinch Memorial Hospital,All Procedures,18,100,6.4,21.9,44.800000000000004,153.29999999999998
5524,2010/11,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,58,534,2.6,7.4,18.2,51.800000000000004
5587,2010/11,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,329,1601,4.9,13.0,34.300000000000004,91.0
5685,2010/11,Vancouver Coastal,Lions Gate Hospital,All Procedures,2636,9306,5.6,18.6,39.199999999999996,130.20000000000002
5755,2010/11,Vancouver Coastal,Mount Saint Joseph Hospital,All Procedures,1739,10642,3.0,12.4,21.0,86.8
5813,2010/11,Vancouver Coastal,Powell River General Hospital,All Procedures,145,911,4.1,10.1,28.699999999999996,70.7
5854,2010/11,Vancouver Coastal,Richmond Hospital,All Procedures,1974,6009,7.9,26.6,55.300000000000004,186.20000000000002
5920,2010/11,Vancouver Coastal,Sechelt Hospital,All Procedures,65,580,2.6,7.0,18.2,49.0
5953,2010/11,Vancouver Coastal,Squamish General Hospital,All Procedures,265,805,3.9,15.6,27.3,109.2
5998,2010/11,Vancouver Coastal,St. Paul'S Hospital,All Procedures,3161,6765,3.3,21.6,23.099999999999998,151.20000000000002
6066,2010/11,Vancouver Coastal,Ubc Health Sciences Centre,All Procedures,3911,9610,4.9,23.3,34.300000000000004,163.1
6133,2010/11,Vancouver Coastal,Vancouver General Hospital,All Procedures,2701,13553,4.0,18.3,28.0,128.1
6298,2010/11,Vancouver Island,Campbell River And District General Hospital,All Procedures,561,2771,6.9,22.9,48.300000000000004,160.29999999999998
6361,2010/11,Vancouver Island,Cowichan District Hospital,All Procedures,1094,3551,6.1,20.6,42.699999999999996,144.20000000000002
6418,2010/11,Vancouver Island,Nanaimo Regional General Hospital,All Procedures,2677,9799,8.0,28.6,56.0,200.20000000000002
6489,2010/11,Vancouver Island,Royal Jubilee Hospital,All Procedures,4376,11898,5.1,22.4,35.699999999999996,156.79999999999998
6564,2010/11,Vancouver Island,Saanich Peninsula Hospital,All Procedures,644,2549,6.1,18.9,42.699999999999996,132.29999999999998
6619,2010/11,Vancouver Island,St. Joseph'S General Hospital,All Procedures,1443,5152,8.3,29.0,58.10000000000001,203.0
6681,2010/11,Vancouver Island,Victoria General Hospital,All Procedures,3396,9598,6.0,25.0,42.0,175.0
6752,2010/11,Vancouver Island,West Coast General Hospital,All Procedures,265,965,6.0,23.0,42.0,161.0
6877,2011/12,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,1793,5636,7.9,35.6,55.300000000000004,249.20000000000002
7027,2011/12,Fraser,Burnaby Hospital,All Procedures,3961,6957,12.3,39.0,86.10000000000001,273.0
7091,2011/12,Fraser,Chilliwack General Hospital,All Procedures,1515,8305,6.0,22.4,42.0,156.79999999999998
7153,2011/12,Fraser,Delta Hospital,All Procedures,880,4727,2.6,12.7,18.2,88.89999999999999
7204,2011/12,Fraser,Eagle Ridge Hospital,All Procedures,2062,5313,6.4,28.9,44.800000000000004,202.29999999999998
7270,2011/12,Fraser,Langley Memorial Hospital,All Procedures,1744,5493,8.4,28.3,58.800000000000004,198.1
7331,2011/12,Fraser,Pattison Outpatient Centre,All Procedures,1253,1814,6.1,30.3,42.699999999999996,212.1
7381,2011/12,Fraser,Peace Arch Hospital,All Procedures,1752,3320,8.6,44.9,60.199999999999996,314.3
7440,2011/12,Fraser,Ridge Meadows Hospital,All Procedures,1578,6751,7.4,32.1,51.800000000000004,224.70000000000002
7495,2011/12,Fraser,Royal Columbian Hospital,All Procedures,1101,3263,3.6,18.6,25.2,130.20000000000002
7563,2011/12,Fraser,Surrey Memorial Hospital,All Procedures,5092,9979,7.9,30.4,55.300000000000004,212.79999999999998
7638,2011/12,Interior,100 Mile District General Hospital,All Procedures,11,40,16.3,33.6,114.10000000000001,235.20000000000002
7727,2011/12,Interior,Cariboo Memorial Hospital,All Procedures,113,1395,2.6,6.0,18.2,42.0
7763,2011/12,Interior,Creston Valley Hospital,All Procedures,17,66,3.4,9.8,23.8,68.60000000000001
7772,2011/12,Interior,East Kootenay Regional Hospital,All Procedures,1003,3708,4.0,23.1,28.0,161.70000000000002
7834,2011/12,Interior,Elk Valley Hospital,All Procedures,57,178,7.7,17.6,53.9,123.20000000000002
7857,2011/12,Interior,Golden And District General Hospital,All Procedures,3,152,1.3,2.8,9.1,19.599999999999998
7874,2011/12,Interior,Kelowna General Hospital,All Procedures,3578,11330,6.3,26.9,44.1,188.29999999999998
7955,2011/12,Interior,Kootenay Boundary Regional Hospital,All Procedures,1522,3138,6.7,31.6,46.9,221.20000000000002
8021,2011/12,Interior,Kootenay Lake Hospital,All Procedures,168,741,4.3,16.7,30.099999999999998,116.89999999999999
8052,2011/12,Interior,Lillooet Hospital And Health Centre,All Procedures,16,26,11.0,20.6,77.0,144.20000000000002
8062,2011/12,Interior,Penticton Regional Hospital,All Procedures,826,3396,4.1,21.8,28.699999999999996,152.6
8123,2011/12,Interior,Pleasant Valley Health Centre,All Procedures,254,1940,5.1,13.9,35.699999999999996,97.3
8129,2011/12,Interior,Queen Victoria Hospital,All Procedures,35,136,6.0,12.1,42.0,84.7
8152,2011/12,Interior,Royal Inland Hospital,All Procedures,4119,9063,8.7,41.1,60.89999999999999,287.7
8228,2011/12,Interior,Shuswap Lake General Hospital,All Procedures,223,971,6.0,18.9,42.0,132.29999999999998
8276,2011/12,Interior,Summerland Memorial Health Centre,All Procedures,305,2182,2.7,13.0,18.900000000000002,91.0
8294,2011/12,Interior,Vernon Jubilee Hospital,All Procedures,2213,3784,7.9,32.9,55.300000000000004,230.29999999999998
8435,2011/12,Northern,Bulkley Valley District Hospital,All Procedures,103,427,5.4,24.4,37.800000000000004,170.79999999999998
8476,2011/12,Northern,Dawson Creek And District Hospital,All Procedures,305,1138,7.1,24.6,49.699999999999996,172.20000000000002
8525,2011/12,Northern,Fort Nelson General Hospital,All Procedures,0,8,1.1,3.3,7.700000000000001,23.099999999999998
8530,2011/12,Northern,Fort St John General Hospital,All Procedures,308,1315,5.9,26.9,41.300000000000004,188.29999999999998
8582,2011/12,Northern,G.R. Baker Memorial Hospital,All Procedures,285,1895,4.4,14.9,30.800000000000004,104.3
8627,2011/12,Northern,Kitimat General Hospital,All Procedures,133,624,5.3,21.7,37.1,151.9
8663,2011/12,Northern,Mills Memorial Hospital,All Procedures,315,1695,4.9,12.7,34.300000000000004,88.89999999999999
8710,2011/12,Northern,Prince Rupert Regional Hospital,All Procedures,164,1467,2.1,8.1,14.700000000000001,56.699999999999996
8761,2011/12,Northern,St. John Hospital,All Procedures,263,1135,6.7,17.6,46.9,123.20000000000002
8806,2011/12,Northern,The University Hospital Of Northern British Columbia,All Procedures,1827,5429,7.0,34.0,49.0,238.0
8883,2011/12,Northern,Wrinch Memorial Hospital,All Procedures,21,73,8.3,21.8,58.10000000000001,152.6
8972,2011/12,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,46,535,2.1,7.3,14.700000000000001,51.1
8984,2011/12,Provincial Health Services Authority,B.C. Children'S Hospital,All Procedures,1541,6145,5.1,25.3,35.699999999999996,177.1
9050,2011/12,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,460,1635,5.0,14.2,35.0,99.39999999999999
9149,2011/12,Vancouver Coastal,Lions Gate Hospital,All Procedures,2481,9967,6.1,22.7,42.699999999999996,158.9
9218,2011/12,Vancouver Coastal,Mount Saint Joseph Hospital,All Procedures,1918,10412,3.1,12.0,21.7,84.0
9273,2011/12,Vancouver Coastal,Powell River General Hospital,All Procedures,96,889,4.1,10.3,28.699999999999996,72.10000000000001
9313,2011/12,Vancouver Coastal,Richmond Hospital,All Procedures,2141,6352,6.9,24.4,48.300000000000004,170.79999999999998
9378,2011/12,Vancouver Coastal,Sechelt Hospital,All Procedures,101,670,2.1,7.9,14.700000000000001,55.300000000000004
9411,2011/12,Vancouver Coastal,Squamish General Hospital,All Procedures,251,844,3.1,13.0,21.7,91.0
9456,2011/12,Vancouver Coastal,St. Paul'S Hospital,All Procedures,3719,7021,4.0,26.7,28.0,186.9
9527,2011/12,Vancouver Coastal,Ubc Health Sciences Centre,All Procedures,4090,9405,5.9,26.6,41.300000000000004,186.20000000000002
9595,2011/12,Vancouver Coastal,Vancouver General Hospital,All Procedures,2960,13813,3.7,16.0,25.900000000000002,112.0
9759,2011/12,Vancouver Island,Campbell River And District General Hospital,All Procedures,845,2620,7.0,18.9,49.0,132.29999999999998
9824,2011/12,Vancouver Island,Cowichan District Hospital,All Procedures,979,3662,7.6,27.6,53.199999999999996,193.20000000000002
9888,2011/12,Vancouver Island,Nanaimo Regional General Hospital,All Procedures,2851,9650,8.0,25.1,56.0,175.70000000000002
9960,2011/12,Vancouver Island,Royal Jubilee Hospital,All Procedures,4345,12149,6.3,24.9,44.1,174.29999999999998
10034,2011/12,Vancouver Island,Saanich Peninsula Hospital,All Procedures,870,2459,7.6,22.0,53.199999999999996,154.0
10089,2011/12,Vancouver Island,St. Joseph'S General Hospital,All Procedures,1141,5090,6.7,27.1,46.9,189.70000000000002
10153,2011/12,Vancouver Island,Victoria General Hospital,All Procedures,3700,9581,6.3,25.7,44.1,179.9
10223,2011/12,Vancouver Island,West Coast General Hospital,All Procedures,246,1013,5.1,21.0,35.699999999999996,147.0
10347,2012/13,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,1999,4689,5.9,28.7,41.300000000000004,200.9
10499,2012/13,Fraser,Burnaby Hospital,All Procedures,3953,6610,12.7,40.3,88.89999999999999,282.09999999999997
10566,2012/13,Fraser,Chilliwack General Hospital,All Procedures,1533,8053,4.3,15.9,30.099999999999998,111.3
10631,2012/13,Fraser,Delta Hospital,All Procedures,1127,4483,3.7,16.0,25.900000000000002,112.0
10683,2012/13,Fraser,Eagle Ridge Hospital,All Procedures,2216,5612,6.6,24.9,46.199999999999996,174.29999999999998
10750,2012/13,Fraser,Langley Memorial Hospital,All Procedures,1649,5383,6.1,28.0,42.699999999999996,196.0
10809,2012/13,Fraser,Pattison Outpatient Centre,All Procedures,1317,2992,7.9,31.3,55.300000000000004,219.1
10864,2012/13,Fraser,Peace Arch Hospital,All Procedures,1778,3251,7.6,38.1,53.199999999999996,266.7
10926,2012/13,Fraser,Ridge Meadows Hospital,All Procedures,1540,5967,5.1,24.0,35.699999999999996,168.0
10981,2012/13,Fraser,Royal Columbian Hospital,All Procedures,1043,3068,3.7,16.9,25.900000000000002,118.29999999999998
11050,2012/13,Fraser,Surrey Memorial Hospital,All Procedures,4195,9243,8.3,36.4,58.10000000000001,254.79999999999998
11127,2012/13,Interior,100 Mile District General Hospital,All Procedures,20,38,8.4,30.5,58.800000000000004,213.5
11219,2012/13,Interior,Cariboo Memorial Hospital,All Procedures,97,1328,2.6,6.3,18.2,44.1
11258,2012/13,Interior,Creston Valley Hospital,All Procedures,10,83,3.3,9.0,23.099999999999998,63.0
11268,2012/13,Interior,East Kootenay Regional Hospital,All Procedures,980,3240,4.6,28.1,32.199999999999996,196.70000000000002
11327,2012/13,Interior,Elk Valley Hospital,All Procedures,40,173,6.9,19.5,48.300000000000004,136.5
11343,2012/13,Interior,Golden And District General Hospital,All Procedures,8,135,1.0,1.9,7.0,13.299999999999999
11357,2012/13,Interior,Kelowna General Hospital,All Procedures,3327,11360,6.4,26.6,44.800000000000004,186.20000000000002
11439,2012/13,Interior,Kootenay Boundary Regional Hospital,All Procedures,1450,2604,7.9,38.9,55.300000000000004,272.3
11507,2012/13,Interior,Kootenay Lake Hospital,All Procedures,582,1052,5.0,15.7,35.0,109.89999999999999
11536,2012/13,Interior,Lillooet Hospital And Health Centre,All Procedures,14,37,7.3,23.6,51.1,165.20000000000002
11546,2012/13,Interior,Penticton Regional Hospital,All Procedures,651,3231,4.7,19.7,32.9,137.9
11608,2012/13,Interior,Pleasant Valley Health Centre,All Procedures,533,1971,2.9,11.7,20.3,81.89999999999999
11614,2012/13,Interior,Queen Victoria Hospital,All Procedures,36,156,4.1,13.3,28.699999999999996,93.10000000000001
11638,2012/13,Interior,Royal Inland Hospital,All Procedures,3768,8999,7.4,40.9,51.800000000000004,286.3
11714,2012/13,Interior,Shuswap Lake General Hospital,All Procedures,230,1050,6.0,16.2,42.0,113.39999999999999
11756,2012/13,Interior,Summerland Memorial Health Centre,All Procedures,253,2029,1.7,9.9,11.9,69.3
11775,2012/13,Interior,Vernon Jubilee Hospital,All Procedures,1982,4009,9.7,42.4,67.89999999999999,296.8
11914,2012/13,Northern,Bulkley Valley District Hospital,All Procedures,52,426,5.1,21.6,35.699999999999996,151.20000000000002
11954,2012/13,Northern,Dawson Creek And District Hospital,All Procedures,240,1269,5.9,17.0,41.300000000000004,119.0
12000,2012/13,Northern,Fort Nelson General Hospital,All Procedures,0,9,0.1,0.1,0.7000000000000001,0.7000000000000001
12005,2012/13,Northern,Fort St John General Hospital,All Procedures,470,1096,7.7,22.3,53.9,156.1
12058,2012/13,Northern,G.R. Baker Memorial Hospital,All Procedures,291,1627,4.0,13.3,28.0,93.10000000000001
12105,2012/13,Northern,Kitimat General Hospital,All Procedures,111,630,5.4,22.3,37.800000000000004,156.1
12147,2012/13,Northern,Mills Memorial Hospital,All Procedures,264,1554,4.4,16.0,30.800000000000004,112.0
12186,2012/13,Northern,Prince Rupert Regional Hospital,All Procedures,152,1558,2.1,7.4,14.700000000000001,51.800000000000004
12240,2012/13,Northern,St. John Hospital,All Procedures,250,1041,8.7,20.1,60.89999999999999,140.70000000000002
12285,2012/13,Northern,The University Hospital Of Northern British Columbia,All Procedures,1701,5294,6.6,37.0,46.199999999999996,259.0
12360,2012/13,Northern,Wrinch Memorial Hospital,All Procedures,31,40,31.9,59.1,223.29999999999998,413.7
12445,2012/13,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,47,427,1.9,6.0,13.299999999999999,42.0
12458,2012/13,Provincial Health Services Authority,B.C. Children'S Hospital,All Procedures,1521,6478,3.6,20.0,25.2,140.0
12521,2012/13,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,600,1733,4.0,12.6,28.0,88.2
12619,2012/13,Vancouver Coastal,Lions Gate Hospital,All Procedures,2535,9532,5.9,20.0,41.300000000000004,140.0
12690,2012/13,Vancouver Coastal,Mount Saint Joseph Hospital,All Procedures,1728,10688,3.0,10.1,21.0,70.7
12747,2012/13,Vancouver Coastal,Powell River General Hospital,All Procedures,90,777,4.1,9.5,28.699999999999996,66.5
12786,2012/13,Vancouver Coastal,Richmond Hospital,All Procedures,1628,5824,6.9,25.9,48.300000000000004,181.29999999999998
12852,2012/13,Vancouver Coastal,Sechelt Hospital,All Procedures,104,676,2.7,11.6,18.900000000000002,81.2
12885,2012/13,Vancouver Coastal,Squamish General Hospital,All Procedures,238,869,4.0,16.3,28.0,114.10000000000001
12931,2012/13,Vancouver Coastal,St. Paul'S Hospital,All Procedures,3263,6580,4.1,30.6,28.699999999999996,214.20000000000002
13001,2012/13,Vancouver Coastal,Ubc Health Sciences Centre,All Procedures,2857,9932,5.1,27.3,35.699999999999996,191.1
13066,2012/13,Vancouver Coastal,Vancouver General Hospital,All Procedures,2873,13658,3.9,15.7,27.3,109.89999999999999
13229,2012/13,Vancouver Island,Campbell River And District General Hospital,All Procedures,1118,2592,9.1,27.1,63.699999999999996,189.70000000000002
13294,2012/13,Vancouver Island,Cowichan District Hospital,All Procedures,1029,3670,5.1,23.4,35.699999999999996,163.79999999999998
13358,2012/13,Vancouver Island,Nanaimo Regional General Hospital,All Procedures,3153,9187,8.4,26.9,58.800000000000004,188.29999999999998
13429,2012/13,Vancouver Island,Royal Jubilee Hospital,All Procedures,4688,12183,6.6,25.9,46.199999999999996,181.29999999999998
13504,2012/13,Vancouver Island,Saanich Peninsula Hospital,All Procedures,928,2438,9.1,27.7,63.699999999999996,193.9
13558,2012/13,Vancouver Island,St. Joseph'S General Hospital,All Procedures,1408,4711,5.9,24.3,41.300000000000004,170.1
13620,2012/13,Vancouver Island,Victoria General Hospital,All Procedures,3515,9773,6.1,27.0,42.699999999999996,189.0
13691,2012/13,Vancouver Island,West Coast General Hospital,All Procedures,151,935,4.6,20.2,32.199999999999996,141.4
13812,2013/14,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,1705,5289,5.9,35.9,41.300000000000004,251.29999999999998
13965,2013/14,Fraser,Burnaby Hospital,All Procedures,3609,6744,11.3,44.8,79.10000000000001,313.59999999999997
14030,2013/14,Fraser,Chilliwack General Hospital,All Procedures,1740,8069,5.1,15.6,35.699999999999996,109.2
14094,2013/14,Fraser,Delta Hospital,All Procedures,1038,4558,4.0,18.9,28.0,132.29999999999998
14150,2013/14,Fraser,Eagle Ridge Hospital,All Procedures,2026,5771,6.9,24.9,48.300000000000004,174.29999999999998
